1,     Luna       9.2000000,    23-11-1995
2,     Moira      8.6342334,    12-11-1993
3,     Jasper     7.2353043,    18-06-1989
4,     Lonnie     9.2459423,    23-04-1986
5,     Neal       6.5933420,    12-12-1964
6,     Jewel      7.4230523,    03-07-1972
7,     Warwick    8.2432345,    18-09-1991
8,     Anastasia  7.3422345,    10-11-1964
9,     Taylor     8.2343240,    02-07-1984
10,    Morton     6.6842340,    09-11-1978
11,    Sapphire   5.6436500,    03-12-1963
12,    Hale       7.3450235,    30-10-1957
13,    Edmond     8.2340590,    10-10-1964
14,    Ralph      9.5433450,    28-06-2001
15,    Clive      6.3450540,    24-05-1963
16,    Joan       7.4521000,    22-11-1952
17,    Virginia   5.3491300,    03-11-1982
18,    Frinklin   9.2340000,    02-05-1977
19,    Eliot      7.0000000,    25-11-1968
20,    Joseph     9.9990000,    05-11-1988
